Species,Common name,Scientific name,Price,date
Inverts,Borneo Purple Earth Tiger Tarantula,Cyriopagopus hati hati,$39.99,04. Nov 19 
Venomous,Mexican Beaded Lizard,Heloderma horridum,$999.99,18. Sep 19 
Lizards,Armadillo Lizard,Cordylus Tropidosternum,$19.99,18. Sep 19 
Lizards,Baby Merauke Blue Tongue Skink,Tiliqua gigas,$149.99,15. Sep 19 
Inverts,Malaysian Prickly Stick Insect,Heteropteryx dilatata,$24.99,14. Sep 19 
Snakes,Baby Bredl Jaguar Carpet Python,Morelia spilota,$149.99,12. Sep 19 
Lizards,Baby Argus Monitor,Varanus panoptes,$349.99,12. Sep 19 
Venomous,Baby Cape Coral Cobra,Aspidelaps lubricus lubricus,$299.99,11. Sep 19 
Snakes,Baby Blotched Kingsnake,Lampropeltis getula goini,$59.99,11. Sep 19 
Lizards,Great AngleHead Lizard,Gonocephalus grandis,$49.99,11. Sep 19 
Amphibians,Chubby Frog,null,$12.50,03. Nov 19 
Lizards,Abronia Vasconcelosii,Abronia vasconcelosii,$499.99,03. Nov 19 
Snakes,Baby Candino Ball Python,Python regius,$249.99,03. Nov 19 
Snakes,Yearling San Marcos Island Rosy Boa,Lichanura trivirgata trivirgata,$124.99,03. Nov 19 
Lizards,Timor Monitor,Varanus timorensis,$149.99,03. Nov 19 
Lizards,Baby Panda Dragons,null,$449.99,03. Nov 19 
Inverts,Venezuelan Redstripe Pink Toe Tarantula,Avicularia minatrix,$54.99,03. Nov 19 
Tortoises,Baby Indian Star Tortoise,null,$349.99,03. Nov 19 
Amphibians,C.B. Baby Australian Dumpy Tree Frog,Litoria caerulea,$19.99,03. Nov 19 
Geckos,Crocodile Gecko,Tarentola mauritanica,$19.99,03. Nov 19 
Geckos,Fringe Fingered Gecko,Ptyodactylus guttatus(ragazzii),$14.99,03. Nov 19 
Lizards,Desert Agama,Trapelus mutabilis,$59.99,03. Nov 19 
Inverts,Colombian Giant Copperhead Tarantula,Pamphobeteus fortis,$149.99,03. Nov 19 
Amphibians,Blotched Tiger Salamander,Ambystoma tigrinum melanostictum,$24.99,03. Nov 19 
Amphibians,Blue Sipaliwini Tinctorius Dart Frog,Dendrobates tinctorius,$39.99,03. Nov 19 
Snakes,Baby Caramel Snow Western Hognose Snake,null,$699.99,03. Nov 19 
Turtles,Caramel Pink Albino Red Ear Slider Turtle,null,"$1,199.99",03. Nov 19 
Amphibians,Nicaragua Strawberry Pumilio Dart Frog,Dendrobates pumilio,$34.99,09. Sep 19 
Geckos,Baby Sarasinorum Gecko,Correlophus sarasinorum,$149.99,09. Sep 19 
Amphibians,Bronze Mantella,Mantella betsileo,$29.99,09. Sep 19 
Geckos,Baby Crimson Giant Day Gecko,Phelsuma grandis,$39.99,09. Sep 19 
Inverts,Chilean Emerald Tarantula,Paraphysa sp,$29.99,09. Sep 19 
Inverts,Violin Mantis,Gongylus gongylodes,$34.99,09. Sep 19 
Lizards,Major Plated Lizard,Gerrhosaurus Major,$49.99,09. Sep 19 
Snakes,Baby Scaleless Head Banana Ball Python,Python regius,$799.99,09. Sep 19 
Lizards,Baby Egyptian Uromastyx,"***BABIES DUE TO ARRIVE IN 2 TO 3 WEEKS, DEPOSITS ARE $100.00 WITH THE $199.99 BALANCE DUE UPON ARRIVAL***",$100.00,09. Sep 19 
Geckos,Baby Enigma Leopard Gecko,Eublepharis macularius,$34.99,09. Sep 19 
Inverts,Thailand Fawn Tarantula,Chilobrachys Huahini,$29.99,02. Nov 19 
Lizards,Baby Yellow Quince (V. melinus) Monitor,Varanus melinus,$324.99,02. Nov 19 
Tortoises,Baby Cherryhead Redfoot Tortoise,Chelonoidis carbonaria,$224.99,02. Nov 19 
Lizards,Baby Blackthroat Monitor,Varanus albigularis ionidesi,$374.99,02. Nov 19 
Lizards,Baby Starred Agama,Stellagama stellio,$49.99,02. Nov 19 
Lizards,Baby Desert Horned Lizard,Phrynosoma platyrhinos,$24.99,02. Nov 19 
Turtles,Madagascan Big Head Turtle,Erymnochelys madigascariensis,$399.99,02. Nov 19 
Inverts,Giant Asian Green Mantis,Hierodula membranacea,$24.99,02. Nov 19 
Inverts,Eastern Bark Centipede,Hemiscolopendra marginata,$19.99,02. Nov 19 
Inverts,Brazilian Wooly Black Tarantula,null,$64.99,02. Nov 19 
Turtles,Baby Hypo Florida Softshell Turtle,Apalone ferox,$149.99,02. Nov 19 
Snakes,River Road Grey Banded Kingsnake,Lampropeltis alterna,$149.99,02. Nov 19 
Inverts,Pinktoe Tarantula,Avicularia avicularia,$9.99,02. Nov 19 
Turtles,Baby Eastern Painted Turtle,null,$29.99,06. Sep 19 
Lizards,Emerald Tree Skink,Lamprolepis smaragdina,$49.99,06. Sep 19 
Snakes,Baby Super Salmon Snow Cornsnake,null,$84.99,06. Sep 19 
Lizards,Curly Tail Lizard,null,$9.99,06. Sep 19 
Inverts,Purple Bloom Tarantula,Pamphobeteus machala,$54.99,06. Sep 19 
Turtles,Twistneck Turtle,Platemys platycephala,$49.99,06. Sep 19 
Snakes,Baby Yellow Ratsnake,Pantherophis obsoleta quadrivittata,$29.99,06. Sep 19 
Geckos,Mossy Leaf Tailed Gecko,Uroplatus sikorae,$379.99,05. Sep 19 
Inverts,Venezuelan Suntiger Tarantula,Psalmopoeus irminia,$39.99,02. Nov 19 
Amphibians,Barking Tree Frog,Hyla gratoisa,$19.99,02. Nov 19 
Amphibians,Strawberry Pineapple Pacman Frog,Ceratophrys cranwelli,$24.99,02. Nov 19 
Venomous,Baby Mexican Beaded Lizard,Heloderma horridum,$599.99,02. Nov 19 
Snakes,Baby Guyana Redtail Boa,null,$174.99,02. Nov 19 
Isopods,Porcellio Laevis “Orange” Isopods,Porcellio Laevis,$14.99,02. Nov 19 
Lizards,Adult Baja Blue Rock Lizard,Petrosaurus thalassinus,$299.99,02. Nov 19 
Turtles,Baby Asian Yellow Pond Turtle,null,$149.99,02. Nov 19 
Venomous,Yellow Flat Nose Bamboo Pit Viper,Trimeresurus puniceus,$599.99,02. Nov 19 
Amphibians,Leucistic Spanish Ribbed Newts,Pleurodeles waltl,$29.99,02. Nov 19 
Snakes,Baby Scaleless Head Butter Pastel Ball Python,Python regius,$399.99,02. Nov 19 
Snakes,Baby Aberrant Albino California Kingsnake,Lampropeltis getula californiae,$149.99,02. Nov 19 
Lizards,Baby Green Ameiva,Ameiva ameiva,$11.99,02. Nov 19 
Inverts,Rose Hair Tarantula,Gramastola rosea,$19.99,02. Nov 19 
Geckos,Marble Gecko,Christinus marmoratus,$9.99,02. Nov 19 
Inverts,Salmon Pink Birdeater Tarantula,Lasiodora parahybana,$24.99,02. Nov 19 
Lizards,Baby Cuban Knight Anole,Anolis equestris,$9.99,02. Nov 19 
Inverts,Twin Spot African Mantis,Sphodromantis aurea,$24.99,02. Nov 19 
Amphibians,Ruby Eye Tree Frog,Leptopeltis uluguruensis,$34.99,01. Nov 19 
Lizards,African Blue Tail Skink,Trachylepis quinquetaeniata,$6.99,01. Nov 19 
Venomous,Tanzanian Puff Adder,null,$149.99,02. Sep 19 
Lizards,Baby Irian Jaya X Northern Blue Tongue Skink,null,$299.99,02. Sep 19 
Snakes,Papuan Boa,Candoia carinata,$79.99,01. Sep 19 
Snakes,Baby Apricot Pueblan Milksnake,Lampropeltis triangulum campbelli,$49.99,01. Sep 19 
Snakes,Baby Superconda Western Hognose Snake,Heterodon nasicus,$199.99,01. Sep 19 
Snakes,Baby Dome Rock Rosy Boa,Lichanura trivirgata arizonae,$89.99,31. Aug 19 
Turtles,Baby Pastel Red Ear Slider Turtle,Trachemys scripta elegans,$149.99,01. Nov 19 
Amphibians,Dwarf Pixie Frog,Pyxicephalus edulis,$19.99,01. Nov 19 
Inverts,Cameroon Red Baboon Tarantula,Hysterocrates gigas,$29.99,01. Nov 19 
Inverts,Metallic Pinktoe Tarantula,Avicularia metallica,$24.99,01. Nov 19 
Amphibians,Fire Salamander,Salamandra salamandra,$24.99,01. Nov 19 
Lizards,Baby Green Basilisk,Basiliscus plumifrons,$24.99,01. Nov 19 
Inverts,Egyptian Yellow Fat Tail Scorpion,null,$39.99,01. Nov 19 
Inverts,Brazilian Black Tarantula,Grammostola pulchra,$99.99,31. Oct 19 
Turtles,Baby Pastel Yellowbelly Slider Turtle,null,$249.99,31. Oct 19 
Inverts,Texas Brown Tarantula,null,$29.99,31. Oct 19 
Snakes,Baby Hypo Lavender Cornsnake,Pantherophis guttatus,$59.99,31. Oct 19 
Tegus,Baby Albino Purple Tiger Tegu,null,"$3,499.99",31. Oct 19 
Snakes,Yearling Hypo Motley Costa Rican Boa,Boa constrictor x imperator,$399.99,31. Oct 19 
Lizards,Baby Melanistic Green Ameiva,Ameiva ameiva,$899.99,31. Oct 19 
Snakes,Yearling Borrego Springs Rosy Boa,null,$124.99,31. Oct 19 
Snakes,Baby Egyptian False Cobra,Malpolon moilensis,$249.99,27. Aug 19 
Snakes,Matrix Blood Python,Python curtus,$174.99,27. Aug 19 
Lizards,Jeweled Chameleon,Furcifer campani,$79.99,27. Aug 19 
Tortoises,Adult Pancake Tortoise,Malacochersus tornieri,$799.99,27. Aug 19 
Lizards,Painted Agama,Laudakia stellio brachydactyla,$99.99,27. Aug 19 
