Species,Common name,Scientific name,Price,months
Amphibians,Nicaragua Strawberry Pumilio Dart Frog,Dendrobates pumilio,$34.99,8
Geckos,Baby Sarasinorum Gecko,Correlophus sarasinorum,$149.99,8
Amphibians,Bronze Mantella,Mantella betsileo,$29.99,8
Geckos,Baby Crimson Giant Day Gecko,Phelsuma grandis,$39.99,8
Inverts,Chilean Emerald Tarantula,Paraphysa sp,$29.99,8
Inverts,Violin Mantis,Gongylus gongylodes,$34.99,8
Lizards,Major Plated Lizard,Gerrhosaurus Major,$49.99,8
Snakes,Baby Scaleless Head Banana Ball Python,Python regius,$799.99,8
Lizards,Baby Egyptian Uromastyx,"***BABIES DUE TO ARRIVE IN 2 TO 3 WEEKS, DEPOSITS ARE $100.00 WITH THE $199.99 BALANCE DUE UPON ARRIVAL***",$100.00,8
Geckos,Baby Enigma Leopard Gecko,Eublepharis macularius,$34.99,8
Inverts,Thailand Fawn Tarantula,Chilobrachys Huahini,$29.99,10
Lizards,Baby Yellow Quince (V. melinus) Monitor,Varanus melinus,$324.99,10
Tortoises,Baby Cherryhead Redfoot Tortoise,Chelonoidis carbonaria,$224.99,10
Lizards,Baby Blackthroat Monitor,Varanus albigularis ionidesi,$374.99,10
Lizards,Baby Starred Agama,Stellagama stellio,$49.99,10
Lizards,Baby Desert Horned Lizard,Phrynosoma platyrhinos,$24.99,10
Turtles,Madagascan Big Head Turtle,Erymnochelys madigascariensis,$399.99,10
Inverts,Giant Asian Green Mantis,Hierodula membranacea,$24.99,10
Inverts,Eastern Bark Centipede,Hemiscolopendra marginata,$19.99,10
Inverts,Brazilian Wooly Black Tarantula,,$64.99,10
Turtles,Baby Hypo Florida Softshell Turtle,Apalone ferox,$149.99,10
Snakes,River Road Grey Banded Kingsnake,Lampropeltis alterna,$149.99,10
Inverts,Pinktoe Tarantula,Avicularia avicularia,$9.99,10
Turtles,Baby Eastern Painted Turtle,,$29.99,8
Lizards,Emerald Tree Skink,Lamprolepis smaragdina,$49.99,8
Snakes,Baby Super Salmon Snow Cornsnake,,$84.99,8
Lizards,Curly Tail Lizard,,$9.99,8
Inverts,Purple Bloom Tarantula,Pamphobeteus machala,$54.99,8
Turtles,Twistneck Turtle,Platemys platycephala,$49.99,8
Snakes,Baby Yellow Ratsnake,Pantherophis obsoleta quadrivittata,$29.99,8
Geckos,Mossy Leaf Tailed Gecko,Uroplatus sikorae,$379.99,8
Inverts,Venezuelan Suntiger Tarantula,Psalmopoeus irminia,$39.99,10
Amphibians,Barking Tree Frog,Hyla gratoisa,$19.99,10
Amphibians,Strawberry Pineapple Pacman Frog,Ceratophrys cranwelli,$24.99,10
Venomous,Baby Mexican Beaded Lizard,Heloderma horridum,$599.99,10
Snakes,Baby Guyana Redtail Boa,,$174.99,10
Isopods,Porcellio Laevis “Orange” Isopods,Porcellio Laevis,$14.99,10
Lizards,Adult Baja Blue Rock Lizard,Petrosaurus thalassinus,$299.99,10
Turtles,Baby Asian Yellow Pond Turtle,,$149.99,10
Venomous,Yellow Flat Nose Bamboo Pit Viper,Trimeresurus puniceus,$599.99,10
Amphibians,Leucistic Spanish Ribbed Newts,Pleurodeles waltl,$29.99,10
Snakes,Baby Scaleless Head Butter Pastel Ball Python,Python regius,$399.99,10
Snakes,Baby Aberrant Albino California Kingsnake,Lampropeltis getula californiae,$149.99,10
Lizards,Baby Green Ameiva,Ameiva ameiva,$11.99,10
Inverts,Rose Hair Tarantula,Gramastola rosea,$19.99,10
Geckos,Marble Gecko,Christinus marmoratus,$9.99,10
Inverts,Salmon Pink Birdeater Tarantula,Lasiodora parahybana,$24.99,10
Lizards,Baby Cuban Knight Anole,Anolis equestris,$9.99,10
Inverts,Twin Spot African Mantis,Sphodromantis aurea,$24.99,10
Amphibians,Ruby Eye Tree Frog,Leptopeltis uluguruensis,$34.99,10
Lizards,African Blue Tail Skink,Trachylepis quinquetaeniata,$6.99,10
Venomous,Tanzanian Puff Adder,,$149.99,8
Lizards,Baby Irian Jaya X Northern Blue Tongue Skink,,$299.99,8
Snakes,Papuan Boa,Candoia carinata,$79.99,8
Snakes,Baby Apricot Pueblan Milksnake,Lampropeltis triangulum campbelli,$49.99,8
Snakes,Baby Superconda Western Hognose Snake,Heterodon nasicus,$199.99,8
Snakes,Baby Dome Rock Rosy Boa,Lichanura trivirgata arizonae,$89.99,7
Turtles,Baby Pastel Red Ear Slider Turtle,Trachemys scripta elegans,$149.99,10
Amphibians,Dwarf Pixie Frog,Pyxicephalus edulis,$19.99,10
Inverts,Cameroon Red Baboon Tarantula,Hysterocrates gigas,$29.99,10
Inverts,Metallic Pinktoe Tarantula,Avicularia metallica,$24.99,10
Amphibians,Fire Salamander,Salamandra salamandra,$24.99,10
Lizards,Baby Green Basilisk,Basiliscus plumifrons,$24.99,10
Inverts,Egyptian Yellow Fat Tail Scorpion,,$39.99,10
Inverts,Brazilian Black Tarantula,Grammostola pulchra,$99.99,9
Turtles,Baby Pastel Yellowbelly Slider Turtle,,$249.99,9
Inverts,Texas Brown Tarantula,,$29.99,9
Snakes,Baby Hypo Lavender Cornsnake,Pantherophis guttatus,$59.99,9
Tegus,Baby Albino Purple Tiger Tegu,,"$3,499.99",9
Snakes,Yearling Hypo Motley Costa Rican Boa,Boa constrictor x imperator,$399.99,9
Lizards,Baby Melanistic Green Ameiva,Ameiva ameiva,$899.99,9
Snakes,Yearling Borrego Springs Rosy Boa,,$124.99,9
Snakes,Baby Egyptian False Cobra,Malpolon moilensis,$249.99,7
Snakes,Matrix Blood Python,Python curtus,$174.99,7
Lizards,Jeweled Chameleon,Furcifer campani,$79.99,7
Tortoises,Adult Pancake Tortoise,Malacochersus tornieri,$799.99,7
Lizards,Painted Agama,Laudakia stellio brachydactyla,$99.99,7
Geckos,Steudner’s Pygmy Gecko,Tropiocolotes steudneri,$19.99,7
Lizards,Red And Black Chuckwalla,Sauromalus ater,$299.99,7
Turtles,Baby Pinkbelly Snapping Turtle,Elseya novaeguineae,$59.99,7
Lizards,Baby Abronia Mixteca (Mexican Alligator Lizard),Abronia mixteca,$99.99,7
Amphibians,Reed Frog,Hyperolius Sp.,$6.99,7
Turtles,Baby Oaxaca Mud Turtle,,$199.99,9
Snakes,Lesser Ball Python,,$74.99,9
Inverts,Desert Hairy Scorpion,Hadrurus arizonensis,$19.99,9
Turtles,Baby Albino Red Eared Slider Turtle,Trachemys scripta elegans,$249.99,9
Amphibians,Albino Axolotl,Ambystoma mexicanum,$24.99,9
Lizards,Baby Kordensis Green Tree Monitor,,"$1,199.99",9
Inverts,King Baboon Tarantula,Pelinobius muticus,$29.99,9
Lizards,Storr’s Monitor,,$499.99,9
Lizards,Brown Pricklenape,Acanthosaura lepidogaster,$14.99,9
Amphibians,Baby C.B. Bird Poop Tree Frog,Theloderma asperum,$29.99,9
Amphibians,Hourglass Frog,Dendropsophus ebraccatus,$24.99,9
Snakes,Baby Irian Jaya x Jungle Jaguar Carpet Python,Morelia spilota variegata,$199.99,9
Amphibians,Alanis Tinctorius Dart Frog,Dendrobates tinctorious,$39.99,9
Inverts,Togo Starburst Baboon Tarantula,Heteroscrodra maculata,$24.99,9
Snakes,Baby Anery Brooks Kingsnake,,$44.99,9
Amphibians,El Cope Auratus Dart Frog,Dendrobates auratus,$24.99,9
Geckos,Satanic Leaftail Gecko,Uroplatus phantasticas,$599.99,9
Lizards,Kordensis Green Tree Monitor,Varanus kordensis,$599.99,7
Amphibians,Asian Toad,Duttaphrynus melanostictus,$7.99,7
Inverts,African Long Tailed Centipede,Rhysida longipes,$9.99,7
Lizards,Leopard Lizard,Gambelia wislizenii,$19.99,7
Lizards,Baby Solomon Island Mangrove Monitor,Varanus indicus,$199.99,7
Amphibians,Green And Black Mantella,Mantella nigricans,$39.99,7
Amphibians,Guibé’s mantella,Mantella nigricans,$39.99,7
Snakes,Baby Strawberry Cornsnake,Pantherophis guttatus,$39.99,7
Venomous,Mangrove Snakes,Boiga dendrophila,$99.99,7
Inverts,Purple Starburst Birdeater Tarantula,,$69.99,7
Lizards,Saharan Red Uromastyx,Uromastyx geyri,$74.99,9
Inverts,Malaysian Vinegaroon,Hypoctonus rangunensis,$29.99,9
Venomous,Copperhead Snake,Agkistrodon contortrix,$99.99,9
Amphibians,Dumpy Tree Frog,Litoria caerulea,$24.99,9
Geckos,White Lined Gecko,Gekko vittatus,$19.99,9
Lizards,Mt Meru Chameleons,Trioceros jacksonii merumontanus,$79.99,9
Amphibians,Spiny Rain Frog,Scaphiophyrne pustulosa,$59.99,9
Lizards,Baby Albino Iguana,Iguana iguana,$849.99,9
Snakes,Egyptian False Cobra,Malpolon moilensis,$199.99,9
Inverts,Moon Crab,Gecarcinus quadratus,$11.99,9
Snakes,Yearling Super Sunset Boa,Boa constrictor x imperator,$399.99,9
Inverts,Dictator Emperor Scorpion,Pandinus dictator,$29.99,9
Inverts,Himalayan Earth Tiger Tarantula,Haplocosmia himalayana,$59.99,9
Snakes,Baby Merauke Green Tree Python,Morelia vridis,$399.99,9
Snakes,Baby Ghost Brooks Kingsnake,Lampropeltis getula floridana,$99.99,9
Amphibians,Albino Pacman Frog,Ceratophrys cranwelli,$14.99,9
Lizards,Flapneck Chameleon,Chamaeleo dilepis,$34.99,9
Snakes,Baby Axanthic Florida Kingsnake,Lampropeltis getula floridana,$59.99,7
Amphibians,Green Tree Frog,Hyla cinerea,$3.99,7
Amphibians,New Mexico Spadefoot Toad,Spea multiplicata,$6.99,7
Geckos,Cameroon Dwarf Gecko,Lygodactylus conraui,$14.99,7
Inverts,Asian Forest Scorpion,,$19.99,7
Tegus,Baby Argentine Black and White Tegu,TUPINAMBIS MERIANAE,$199.99,7
Snakes,Baby Tiger Coastal Carpet Python,Morelia spilota mcdowelli,$149.99,7
Snakes,Baby Albino Florida Kingsnake,,$59.99,7
Amphibians,Marbled Hopper Frogs,Scaphiophryne marmorata,$39.99,7
Inverts,Warrior Beetle,Pasimachus californicus,$19.99,9
Lizards,Abronia Smithi,Abronia Smithi,$499.99,9
Venomous,Baby Angolan Coral Cobra,Aspidelaps lubricus cowlesi,$199.99,9
Lizards,6-8 Inch Hypo Bearded Dragon,Pogona vitticeps,$54.99,9
Snakes,Baby Albino Anaconda Western Hognose Snake,Heterodon nasicus,$224.99,9
Lizards,Baby Dumerils Monitor,Varanus Dumerilii,$349.99,9
Amphibians,Mozambique Rain Frog,Breviceps mossambicus,$39.99,9
Lizards,6 to 8 inch Veiled Chameleon,Chamaeleo calyptratus,$54.99,9
Amphibians,Southern Toad,Anaxyrus terrestris,$4.99,9
Inverts,Unicorn Mantis,,$59.99,9
Geckos,Baby Flying Gecko,Ptychozoon kuhli,$24.99,9
Lizards,Baby Ornate Nile Monitor,Varanus ornatus,$34.99,9
Snakes,Goldenchild Reticulated Python,,$399.99,9
Inverts,Ivory Millipede,Chicobolus spinigerus,$6.99,9
Amphibians,Big Eye Tree Frog,Leptopelis vermiculatus,$11.99,9
Lizards,Carpet Chameleon,,$74.99,9
Turtles,Yearling Southern Black Knob Map Turtles,Graptemys nigrinoda delticola,$199.99,7
Turtles,Baby Northern Redbelly Slider Turtle,Pseudemys rubriventris,$39.99,7
Snakes,Baby Blue Garter Snake,,$14.99,6
Lizards,Baby Rhino Iguana,Cyclura cornuta,$499.99,6
Snakes,Baby Sorong Green Tree Python,,$449.99,6
Geckos,Baby Tangerine Leopard Gecko,Eublepharis macularius,$24.99,6
Lizards,6 – 8 Inch Translucent Veiled Chameleon,Chamaeleo calyptratus,$59.99,6
Lizards,Baby American Alligator,Alligator mississippiensis,$149.99,6
Isopods,Agabiformus Lentus Isopod,Agabiformus Lentus,$9.99,6
Lizards,Baby Smooth-Fronted Caiman,Paleosuchus trigonatus,$199.99,6
Inverts,Peruvian Giant Centipede,Scolopendra galapagoensis,$299.99,9
Amphibians,Green Sipaliwini Dart Frog,Dendrobates tinctorius,$39.99,9
Snakes,Crowned Leaf Nose Snake,Lytorhynchus diadema,$49.99,9
